Día	Mes	Año	Departamento	Municipio	Lugar de Ocurrencia	Tipo de Hecho	Tipo de Implicado (2)	Nº Víctimas	Combatiente	Población Civil	Fuente																									
2	1	1988	Antioquia	Betulia	Corregimiento Altamira	Incursión	Guerrilla-EPL	1		1	Boletín Informativo Justicia y Paz, Vol. 1, N° 1, Pág. 23																									
3	1	1988	Antioquia	Betulia	Corregimiento Altamira	Incursión	Guerrilla No Identificada	1		1	Boletín Informativo Justicia y Paz, Vol. 1, N°1, Pág. 20																									
4	1	1988	Sucre	San Benito Abad	Las Tablitas	Emboscada	Guerrilla-EPL	1		1	Boletín Informativo Justicia y Paz, Vol. 1, N°1, Pág. 23 Caso Repetido																									
4	2	1988	Antioquia	Medellín		Combate	Policía Nacional-EPL	1		1	Boletín Informativo Justicia y Paz, Vol. 1, N°1, Pág. 35																									
9	2	1988	Cesar	Becerril		Incursión	Guerrilla-FARC	1		1	Boletín Informativo Justicia y Paz, Vol. 1, N°1, Pág. 35 Caso Repetido 37																									
10	2	1988	Tolima 	Ataco 	Vereda Campohermoso	Incursión	Guerrilla-FARC	3		3	Boletín Informativo Justicia y Paz, Vol. 1, N°1, Pág. 35 Repetido en Página 37																									
21	2	1988	Valle del Cauca	Trujillo		Combate	Policía Nacional-FARC	3	2	1	Boletín Informativo Justicia y Paz, Vol. 1, N°1, Pág. 37																									
13	3	1988	Putumayo	Valle del Guamuez	El Placer	Incursión	Guerrilla No Identificada	2	1	1	Boletín Informativo Justicia y Paz, Vol. 1, N°1, Pág. 51																									
15	3	1988	Norte de Santander	Pamplona / Chitagá	Puente Gómez	Emboscada	Guerrilla-ELN	10	9	1	Boletín Informativo Justicia y Paz, Vol. 1, N°1, Pág. 51																									
22	3	1988	Cauca	Caldono	IP Siberia	Incursión	CGSB	6	4	2	Boletín Informativo Justicia y Paz, Vol. 1, N°1, Pág. 52																									
29	3	1988	Nariño	El Rosario		Incursión	Guerrilla-FARC	2		2	Boletín Informativo Justicia y Paz, Vol. 1, N°1, Pág. 56																									
30	3	1988	Huila 	Garzón	San Antonio del Pescado	Incursión	Guerrilla-CGSB	7	4	3	Boletín Informativo Justicia y Paz, Vol. 1, N°1, Pág. 53																									
1	4	1988	Santander	El Playón	Corregimiento de La Vega	Combate	Ejército Nacional-ELN	5	3	2	Boletín Informativo Justicia y Paz, Vol. 1, N° 2, Pág. 20																									
1	4	1988	Antioquia	Apartadó		Combate	Policía Nacional-EPL	2	1	1	Boletín Informativo Justicia y Paz, Vol. 1, N° 2, Pág. 20																									
5	4	1988	Antioquia	Remedios 	Corregimiento Santa Isabel	Combate	Guerrilla-ELN	7	6	1	Boletín Informativo Justicia y Paz, Vol. 1, N° 2, Pág. 20																									
11	4	1988	La Guajira	Barrancas		Combate	Ejército Nacional-Guerrilla No Identificada	4	1	3	Boletín Informativo Justicia y Paz, Vol. 1, N° 2, Pág. 20																									
19	4	1988	César	Chiriguaná	Corregimiento de La Sierra	Incursión	Guerrilla-ELN	3		3	Boletín Informativo Justicia y Paz, Vol. 1, N° 2, Pág. 21																									
20	4	1988	Distrito Capital	Bogotá	Barrio Lucero Medio	Combate	Policía Nacional-Guerrilla No Identificada	2	1	1	Boletín Informativo Justicia y Paz, Vol. 1, N° 2, Pág. 21																									
25	4	1988	César	Nuevo Colón		Incursión	Guerrilla-ELN	10		10	Boletín Informativo Justicia y Paz, Vol. 1, N° 2, Pág. 22																									
26	5	1988	Antioquia	Medellín		Combate	Policía Nacional-EPL	1		1	Boletín Informativo Justicia y Paz, Vol. 1, N° 2, Pág. 42																									
29	5	1988	Antioquia	Nueva Antioquia y San Pedro de Urabá		Combate	Ejercito Nacional-FARC y EPL	11	10	1	Boletín Informativo Justicia y Paz, Vol. 1, N° 2, Pág. 42																									
10	6	1988	Norte de Santander	Teorama	Corregimiento Aserrío	Incursión	Guerrilla-ELN	1		1	Boletín Informativo Justicia y Paz, Vol. 1, N° 2, Pág. 64																									
14	6	1988	Antioquia	Medellín		Ataque a Objetivo Militar	Guerrilla-EPL	1		1	Boletín Informativo Justicia y Paz, Vol. 1, N° 2, Pág. 64																									
6	7	1988	Santander	San Vicente de Chucurí		Ataque a Objetivo Militar	Guerrilla-ELN	5		5	Boletín Informativo Justicia y Paz, Vol. 1, N° 3, Pág. 27																									
12	7	1988	Antioquia	San Vicente		Incursión	Guerrilla-EPL	1		1	Boletín Informativo Justicia y Paz, Vol. 1, N° 3, Pág. 27																									
14	7	1988	Cauca	La Sierra		Incursión	Guerrilla-FARC y M19	8	6	2	Boletín Informativo Justicia y Paz, Vol. 1, N° 3, Pág. 27																									
8	8	1988	Antioquia	Medellín		Ataque a Objetivo Militar	Guerrilla-ELN	1		1	Boletín Informativo Justicia y Paz, Vol. 1, N° 3, Pág. 52																									
14	8	1988	Santander	El Carmen	Sitio El Centenario	Combate	Ejército Nacional-ELN	5	4	1	Boletín Informativo Justicia y Paz, Vol. 1, N° 3, Pág. 53																									
24	8	1988	Córdoba	Tierralta	Corregimiento Saiza	Combate	Grupos Paramilitares- FARC y EPL	36	25	11	Boletín Informativo Justicia y Paz, Vol. 1, N° 3, Pág. 53																									
8	9	1988	Magdalena	Santa Marta	Corregimiento de Minca 	Incursión	Guerrilla-FARC	5	4	1	Boletín Informativo Justicia y Paz, Vol. 1, N° 3, Pág. 79																									
12	9	1988	Antioquia	Zaragoza		Incursión	Guerrilla-ELN	7	3	4	Boletín Informativo Justicia y Paz, Vol. 1, N° 3, Pág. 75																									
13	9	1988	Cauca	El Tambo	IP La Uribe	Combate	Guerrilla-FARC	4		4	Boletín Informativo Justicia y Paz, Vol. 1, N° 3, Pág. 75																									
