c	Mes	Año	Departamento	Municipio	Lugar de Ocurrencia	Tipo de Hecho	Tipo de Bien	Tipo de Implicado (1)	Tipo de Implicado	Víctimas Fatales	Lesionados	Fuente																	
10	1	1988	Arauca			Sabotaje	Infraestructura Energética (Oleoducto)	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Enero-Marzo 1988. Volumen 1, N°. 1. Pp. 23																	
12	1	1988				Sabotaje	Infraestructura Energética (Oleoducto)	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Enero-Marzo 1988. Volumen 1, N°. 1. Pp. 23																	
16	1	1988	Arauca			Sabotaje	Infraestructura Energética (Oleoducto)	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Enero-Marzo 1988. Volumen 1, N°. 1. Pp. 23																	
17	1	1988				Sabotaje	Infraestructura Energética (Oleoducto)	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Enero-Marzo 1988. Volumen 1, N°. 1. Pp. 23																	
21	1	1988				Sabotaje	Infraestructura Energética (Oleoducto)	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Enero-Marzo 1988. Volumen 1, N°. 1. Pp. 24																	
23	1	1988	Antioquia	El Bagre	Corregimiento Puerto Claver	Sabotaje	Infraestructura Eléctrica	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Enero-Marzo 1988. Volumen 1, N°. 1. Pp. 24																	
25	1	1988	Arauca			Sabotaje	Medios de Transporte	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Enero-Marzo 1988. Volumen 1, N°. 1. Pp. 24																	
27	1	1988	Huila	Neiva		Sabotaje	Infraestructura Energética	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Enero-Marzo 1988. Volumen 1, N°. 1. Pp. 24																	
29	1	1988	Antioquia	Carepa	Finca	Asesinato Selectivo-Ataque a Propiedad	Propiedad Rural	Grupos Paramilitares	Grupos Paramilitares			Justicia y Paz Vol. 1 Nº 1, pág. 13																	
1	2	1988	Cauca	Jambaló	Resguardo Indigena de Jambalo	Asesinato Selectivo	Vivienda	Fuerza Pública	Ejército Nacional			Justicia y Paz Vol. 1 Nº 1, pág. 26																	
2	2	1988	Antioquia	Zaragoza		Sabotaje	Infraestructura Eléctrica	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Enero-Marzo 1988. Volumen 1, N°. 1. Pp. 37																	
5	2	1988	Distrito Capital	Bogotá D.C.		Ataque a Propiedad	Infraestructura Empresarial	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Enero-Marzo 1988. Volumen 1, N°. 1. Pp. 37																	
7	2	1988	Antioquia	Remedios		Asesinato Selectivo-Ataque a Propiedad	Propiedad Rural	Fuerza Pública	Ejército Nacional			Justicia y Paz Vol. 1 Nº 1, pág. 27																	
9	2	1988	Norte de Santander	San Calixto		Sabotaje	Infraestructura Energética (Oleoducto)	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Enero-Marzo 1988. Volumen 1, N°. 1. Pp. 37																	
11	2	1988	Arauca			Ataque a Propiedad	Infraestructura Empresarial	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Enero-Marzo 1988. Volumen 1, N°. 1. Pp. 37																	
11	2	1988	Antioquia	Bello		Sabotaje	Infraestructura Energética (Oleoducto)	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Enero-Marzo 1988. Volumen 1, N°. 1. Pp. 37																	
11	2	1988	Tolima	Alvarado		Sabotaje	Infraestructura Energética (Oleoducto)	Guerrilla	Guerrilla-FARC			Justicia y Paz. Boletín informativo Enero-Marzo 1988. Volumen 1, N°. 1. Pp. 37																	
15	2	1988	Valle del Cauca	Yotoco		Sabotaje	Infraestructura Energética (Oleoducto)	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Enero-Marzo 1988. Volumen 1, N°. 1. Pp. 38																	
27	2	1988	Norte de Santander	Ocaña		Ataque a Instituciones	Entidades Públicas	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Enero-Marzo 1988. Volumen 1, N°. 1. Pp. 38																	
20	3	1988	Antioquia	Remedios	Corregimiento Otú	Sabotaje	Infraestructura Aeroporturaria	Guerrilla	Guerrilla-ELN	 		Justicia y Paz. Boletín informativo Enero-Marzo 1988. Volumen 1, N°. 1. Pp. 55																	
23	3	1988	Distrito Capital	Bogotá D.C.		Ataque a Instituciones	Embaja de Estados Unidos	Guerrilla	Guerrilla-M-19			Justicia y Paz. Boletín informativo Enero-Marzo 1988. Volumen 1, N°. 1. Pp. 55																	
25	3	1988	Distrito Capital	Bogotá D.C.		Ataque a Propiedad	Entidad Bancaria	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Enero-Marzo 1988. Volumen 1, N°. 1. Pp. 55																	
26	3	1988	Cesar	Valledupar		Ataque a Instituciones	Entidades Públicas	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz. Boletín informativo Enero-Marzo 1988. Volumen 1, N°. 1. Pp. 55																	
11	4	1988	Antioquia	Turbo	Corregimiento Currulao-Vereda Punta Coquitos	Masacre	Vivienda	Grupos Paramilitares	Grupos Paramilitares			Boletín Justicia y Paz Vol. 1 No 2 Pp. 9 Enterrar y Callar. Vol. 2 Pp. 83																	
19	4	1988	Cauca	Piendamó	Corregimiento Tunia	Sabotaje	Infraestructura Víal	Guerrilla	Guerrilla-M-19			Justicia y Paz. Boletín informativo Abril-Junio 1988. Volumen 1, N°.2. Pp. 26																	
21	4	1988	Cauca	La Sierra		Sabotaje	Infraestructura Víal	Guerrilla	Guerrilla-M-19			Justicia y Paz. Boletín informativo Abril-Junio 1988. Volumen 1, N°.2. Pp. 26																	
25	4	1988	Antioquia			Sabotaje	Infraestructura Víal	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Abril-Junio 1988. Volumen 1, N°.2. Pp. 26																	
1	5	1988	Arauca			Sabotaje	Infraestructura Energética (Oleoducto)	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Abril-Junio 1988. Volumen 1, N°.2. Pp. 46																	
2	5	1988				Sabotaje	Infraestructura Energética (Oleoducto)	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Abril-Junio 1988. Volumen 1, N°.2. Pp. 46																	
8	5	1988	Distrito Capital	Bogotá D.C.		Ataque a Organizaciones	Sede Gremial	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Abril-Junio 1988. Volumen 1, N°.2. Pp. 46																	
11	5	1988				Sabotaje	Infraestructura Energética (Oleoducto)	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Abril-Junio 1988. Volumen 1, N°.2. Pp. 46																	
14	5	1988	Arauca			Sabotaje	Infraestructura Energética (Oleoducto)	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Abril-Junio 1988. Volumen 1, N°.2. Pp. 47																	
22	5	1988	Antioquia	Medellín		Ataque a Propiedad	Infraestructura Empresarial	Guerrilla	Comando Nevardo Alonso Remírez			Justicia y Paz. Boletín informativo Abril-Junio 1988. Volumen 1, N°.2. Pp. 47																	
24	5	1988	Cesar	Curumaní		Asesinato Selectivo-Quema de Vehículos	Medio de Transporte	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz Vol. 1 Nº 2, pág. 33																	
25	5	1988				Ataque a Propiedad	Entidad Bancaria	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Abril-Junio 1988. Volumen 1, N°.2. Pp. 47																	
27	5	1988	Antioquia	Medellín		Ataque a Propiedad	Infraestructura Empresarial	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz. Boletín informativo Abril-Junio 1988. Volumen 1, N°.2. Pp. 48																	
28	5	1988	Cesar	La Jagua de Ibirico		Ataque a Propiedad	Infraestructura Empresarial	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Abril-Junio 1988. Volumen 1, N°.2. Pp. 48																	
28	5	1988	Cesar	Pelaya		Sabotaje	Infraestructura Energética (Oleoducto)	Grupo Armado No Identificado	Grupo Armado No Identificado			Justicia y Paz. Boletín informativo Abril-Junio 1988. Volumen 1, N°.2. Pp. 48																	
28	5	1988	Santander	Carcasí		Sabotaje	Infraestructura Víal	Guerrilla	Guerrilla-ELN			Justicia y Paz. Boletín informativo Abril-Junio 1988. Volumen 1, N°.2. Pp. 48																	
